,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15634602,619,0.0,0.0,42,2.0,0.0,1,1,1,101348.88,1
1,15647311,608,2.0,0.0,41,1.0,83807.86,1,0,1,112542.58,0
2,15619304,502,0.0,0.0,42,8.0,159660.8,3,1,0,113931.57,1
3,15701354,699,0.0,0.0,39,1.0,0.0,2,0,0,93826.63,0
4,15737888,850,2.0,0.0,43,2.0,125510.82,1,1,1,79084.1,0
5,15574012,645,2.0,1.0,44,8.0,113755.78,2,1,0,149756.71,1
6,15592531,822,0.0,1.0,50,7.0,0.0,2,1,1,10062.8,0
7,15656148,376,1.0,0.0,29,4.0,115046.74,4,1,0,119346.88,1
8,15792365,501,0.0,1.0,44,4.0,142051.07,2,0,1,74940.5,0
9,15592389,684,0.0,1.0,27,2.0,134603.88,1,1,1,71725.73,0
10,15767821,528,0.0,1.0,31,6.0,102016.72,2,0,0,80181.12,0
11,15737173,497,2.0,1.0,24,3.0,0.0,2,1,0,76390.01,0
12,15632264,476,0.0,0.0,34,10.0,0.0,2,1,0,26260.98,0
13,15691483,549,0.0,0.0,25,5.0,0.0,2,0,0,190857.79,0
14,15600882,635,2.0,0.0,35,7.0,0.0,2,1,1,65951.65,0
15,15643966,616,1.0,1.0,45,3.0,143129.41,2,0,1,64327.26,0
16,15737452,653,1.0,1.0,58,1.0,132602.88,1,1,0,5097.67,1
17,15788218,549,2.0,0.0,24,9.0,0.0,2,1,1,14406.41,0
18,15661507,587,2.0,1.0,45,6.0,0.0,1,0,0,158684.81,0
19,15568982,726,0.0,0.0,24,6.0,0.0,2,1,1,54724.03,0
20,15577657,732,0.0,1.0,41,8.0,0.0,2,1,1,170886.17,0
21,15597945,636,2.0,0.0,32,8.0,0.0,2,1,0,138555.46,0
22,15699309,510,2.0,0.0,38,4.0,0.0,1,1,0,118913.53,1
23,15725737,669,0.0,1.0,46,3.0,0.0,2,0,1,8487.75,0
24,15625047,846,0.0,0.0,38,5.0,0.0,1,1,1,187616.16,0
25,15738191,577,0.0,1.0,25,3.0,0.0,2,0,1,124508.29,0
26,15736816,756,1.0,1.0,36,2.0,136815.64,1,1,1,170041.95,0
27,15700772,571,0.0,1.0,44,9.0,0.0,2,0,0,38433.35,0
28,15728693,574,1.0,0.0,43,3.0,141349.43,1,1,1,100187.43,0
29,15656300,411,0.0,1.0,29,0.0,59697.17,2,1,1,53483.21,0
30,15706552,533,0.0,1.0,36,7.0,85311.7,1,0,1,156731.91,0
31,15750181,553,1.0,1.0,41,9.0,110112.54,2,0,0,81898.81,0
32,15659428,520,2.0,0.0,42,6.0,0.0,2,1,1,34410.55,0
33,15732963,722,2.0,0.0,29,9.0,0.0,2,1,1,142033.07,0
34,15794171,475,0.0,0.0,45,0.0,134264.04,1,1,0,27822.99,1
35,15788448,490,2.0,1.0,31,3.0,145260.23,1,0,1,114066.77,0
36,15729599,804,2.0,1.0,33,7.0,76548.6,1,0,1,98453.45,0
37,15717426,850,0.0,1.0,36,7.0,0.0,1,1,1,40812.9,0
38,15585768,582,1.0,1.0,41,6.0,70349.48,2,0,1,178074.04,0
39,15619360,472,2.0,1.0,40,4.0,0.0,1,1,0,70154.22,0
40,15738148,465,0.0,0.0,51,8.0,122522.32,1,0,0,181297.65,1
41,15687946,556,0.0,0.0,61,2.0,117419.35,1,1,1,94153.83,0
42,15755196,834,0.0,0.0,49,2.0,131394.56,1,0,0,194365.76,1
43,15684171,660,2.0,0.0,61,5.0,155931.11,1,1,1,158338.39,0
44,15754849,776,1.0,0.0,32,4.0,109421.13,2,1,1,126517.46,0
45,15602280,829,1.0,0.0,27,9.0,112045.67,1,1,1,119708.21,1
46,15771573,637,1.0,0.0,39,9.0,137843.8,1,1,1,117622.8,1
47,15771873,776,1.0,0.0,37,2.0,103769.22,2,1,0,194099.12,0
48,15616550,698,1.0,1.0,44,10.0,116363.37,2,1,0,198059.16,0
49,15683553,788,0.0,0.0,33,5.0,0.0,2,0,0,116978.19,0
50,15569590,601,1.0,1.0,42,1.0,98495.72,1,1,0,40014.76,1
51,15760861,619,0.0,1.0,43,1.0,125211.92,1,1,1,113410.49,0
52,15630053,656,0.0,1.0,45,5.0,127864.4,1,1,0,87107.57,0
53,15647091,725,1.0,1.0,19,0.0,75888.2,1,0,0,45613.75,0
54,15623944,511,2.0,0.0,66,4.0,0.0,1,1,0,1643.11,1
55,15804771,614,0.0,1.0,51,4.0,40685.92,1,1,1,46775.28,0
56,15773469,687,1.0,0.0,27,9.0,152328.88,2,0,0,126494.82,0
57,15702014,555,2.0,1.0,33,1.0,56084.69,2,0,0,178798.13,0
58,15751208,684,2.0,1.0,56,8.0,78707.16,1,1,1,99398.36,0
59,15592461,603,1.0,1.0,26,4.0,109166.37,1,1,1,92840.67,0
60,15789484,751,1.0,0.0,36,6.0,169831.46,2,1,1,27758.36,0
61,15696061,581,1.0,0.0,34,1.0,101633.04,1,1,0,110431.51,0
62,15641582,735,1.0,1.0,43,10.0,123180.01,2,1,1,196673.28,0
63,15638424,661,1.0,0.0,35,5.0,150725.53,2,0,1,113656.85,0
64,15755648,675,0.0,0.0,21,8.0,98373.26,1,1,0,18203.0,0
65,15703793,738,1.0,1.0,58,2.0,133745.44,4,1,0,28373.86,1
66,15620344,813,0.0,1.0,29,6.0,0.0,1,1,0,33953.87,0
67,15812518,657,2.0,0.0,37,0.0,163607.18,1,0,1,44203.55,0
68,15779052,604,1.0,0.0,25,5.0,157780.84,2,1,1,58426.81,0
69,15770811,519,0.0,1.0,36,9.0,0.0,2,0,1,145562.4,0
70,15780961,735,0.0,0.0,21,1.0,178718.19,2,1,0,22388.0,0
71,15614049,664,0.0,1.0,55,8.0,0.0,2,1,1,139161.64,0
72,15662085,678,0.0,0.0,32,9.0,0.0,1,1,1,148210.64,0
73,15575185,757,2.0,1.0,33,5.0,77253.22,1,0,1,194239.63,0
74,15803136,416,1.0,0.0,41,10.0,122189.66,2,1,0,98301.61,0
75,15706021,665,0.0,0.0,34,1.0,96645.54,2,0,0,171413.66,0
76,15663706,777,0.0,0.0,32,2.0,0.0,1,1,0,136458.19,1
77,15701164,506,0.0,0.0,34,4.0,90307.62,1,1,1,159235.29,0
78,15738751,493,0.0,0.0,46,4.0,0.0,2,1,0,1907.66,0
79,15762418,750,2.0,1.0,22,3.0,121681.82,1,1,0,128643.35,1
80,15625759,729,0.0,1.0,30,9.0,0.0,2,1,0,151869.35,0
81,15622897,646,0.0,0.0,46,4.0,0.0,3,1,0,93251.42,1
82,15767954,635,1.0,0.0,28,3.0,81623.67,2,1,1,156791.36,0
83,15757535,647,2.0,0.0,44,5.0,0.0,3,1,1,174205.22,1
84,15731511,808,0.0,1.0,45,7.0,118626.55,2,1,0,147132.46,0
85,15809248,524,0.0,0.0,36,10.0,0.0,2,1,0,109614.57,0
86,15640635,769,0.0,1.0,29,8.0,0.0,2,1,1,172290.61,0
87,15699461,515,2.0,1.0,35,10.0,176273.95,1,0,1,121277.78,0
88,15738721,773,2.0,1.0,41,9.0,102827.44,1,0,1,64595.25,0
89,15693683,814,1.0,1.0,29,8.0,97086.4,2,1,1,197276.13,0
90,15604348,710,2.0,1.0,22,8.0,0.0,2,0,0,99645.04,0
91,15808582,665,0.0,0.0,40,6.0,0.0,1,1,1,161848.03,0
92,15743192,623,0.0,0.0,44,6.0,0.0,2,0,0,167162.43,0
93,15580146,738,0.0,1.0,31,9.0,82674.15,1,1,0,41970.72,0
94,15776605,528,2.0,1.0,36,7.0,0.0,2,1,0,60536.56,0
95,15804919,670,2.0,0.0,65,1.0,0.0,1,1,1,177655.68,1
96,15613854,622,2.0,0.0,46,4.0,107073.27,2,1,1,30984.59,1
97,15599195,582,1.0,1.0,32,1.0,88938.62,1,1,1,10054.53,0
98,15812878,785,1.0,0.0,36,2.0,99806.85,1,0,1,36976.52,0
99,15602312,605,2.0,1.0,33,5.0,150092.8,1,0,0,71862.79,0
100,15744689,479,1.0,1.0,35,9.0,92833.89,1,1,0,99449.86,1
101,15803526,685,1.0,1.0,30,3.0,90536.81,1,0,1,63082.88,0
102,15715951,562,0.0,1.0,42,2.0,100238.35,1,0,0,86797.41,0
103,15591100,675,2.0,1.0,36,9.0,106190.55,1,0,1,22994.32,0
104,15609618,721,1.0,1.0,28,9.0,154475.54,2,0,1,101300.94,1
105,15675522,628,1.0,0.0,30,9.0,132351.29,2,1,1,74169.13,0
106,15705512,668,1.0,0.0,37,6.0,167864.4,1,1,0,115638.29,0
107,15698028,506,0.0,0.0,41,1.0,0.0,2,1,0,31766.3,0
108,15661670,524,1.0,0.0,31,8.0,107818.63,1,1,0,199725.39,1
109,15600781,699,1.0,1.0,34,4.0,185173.81,2,1,0,120834.48,0
110,15682472,828,0.0,1.0,34,8.0,129433.34,2,0,0,38131.77,0
111,15580203,674,2.0,1.0,39,6.0,120193.42,1,0,0,100130.95,0
112,15690673,656,0.0,0.0,39,6.0,0.0,2,1,0,141069.88,0
113,15779659,625,0.0,0.0,28,3.0,0.0,1,0,0,183646.41,0
114,15671137,549,0.0,0.0,52,1.0,0.0,1,0,1,8636.05,1
115,15782688,625,1.0,1.0,56,0.0,148507.24,1,1,0,46824.08,1
116,15575492,828,0.0,0.0,41,7.0,0.0,2,1,0,171378.77,0
117,15591607,770,0.0,1.0,24,9.0,101827.07,1,1,0,167256.35,0
118,15740404,758,0.0,0.0,34,3.0,0.0,2,1,1,124226.16,0
119,15718369,795,1.0,0.0,33,9.0,130862.43,1,1,1,114935.21,0
120,15677871,687,0.0,1.0,38,9.0,122570.87,1,1,1,35608.88,0
121,15642004,686,0.0,1.0,25,1.0,0.0,2,0,1,16459.37,0
122,15712543,789,1.0,1.0,39,7.0,124828.46,2,1,1,124411.08,0
123,15584518,589,1.0,0.0,50,5.0,144895.05,2,1,1,34941.23,0
124,15802381,461,1.0,0.0,34,5.0,63663.93,1,0,1,167784.28,0
125,15610156,637,0.0,1.0,40,2.0,133463.1,1,0,1,93165.34,0
126,15594408,584,2.0,0.0,48,2.0,213146.2,1,1,0,75161.25,1
127,15640905,579,2.0,0.0,35,1.0,129490.36,2,0,1,8590.83,1
128,15698932,756,1.0,1.0,44,10.0,137452.09,1,1,0,189543.9,0
129,15724944,663,0.0,1.0,34,7.0,0.0,2,1,1,180427.24,0
